city,category,link
sao-paulo,roupa-de-banho,https://roupas.mercadolivre.com.br/sao-paulo/roupa-de-banho
sao-paulo,bermudas-shorts,https://roupas.mercadolivre.com.br/bermudas-e-shorts/sao-paulo/#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB188064%26applied_value_name%3DBermudas+e+Shorts%26applied_value_order%3D3%26applied_value_results%3D105250%26is_custom%3Dfalse%26view_more_flag%3Dtrue
sao-paulo,acessorios-moda,https://roupas.mercadolivre.com.br/acessorios-moda/sao-paulo/#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB1451%26applied_value_name%3DAcess%C3%B3rios+de+Moda%26applied_value_order%3D1%26applied_value_results%3D459964%26is_custom%3Dfalse
sao-paulo,calçado,https://roupas.mercadolivre.com.br/calcados/sao-paulo/#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB23262%26applied_value_name%3DCal%C3%A7ados%26applied_value_order%3D5%26applied_value_results%3D673508%26is_custom%3Dfalse
sao-paulo,roupa,https://roupas.mercadolivre.com.br/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D10%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D22%26applied_value_results%3D5026644%26is_custom%3Dfalse
sao-paulo,audio,https://eletronicos.mercadolivre.com.br/audio/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D8%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D24%26applied_value_results%3D249871%26is_custom%3Dfalse
sao-paulo,televisores,https://eletronicos.mercadolivre.com.br/televisores/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D13%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D19%26applied_value_results%3D2124%26is_custom%3Dfalse
sao-paulo,cameras,https://cameras.mercadolivre.com.br/cameras/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D10%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D20%26applied_value_results%3D6241%26is_custom%3Dfalse
sao-paulo,computador,https://informatica.mercadolivre.com.br/portateis-e-acessorios/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D8%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D21%26applied_value_results%3D499239%26is_custom%3Dfalse
sao-paulo,celulares,https://celulares.mercadolivre.com.br/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D11%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D24%26applied_value_results%3D18009%26is_custom%3Dfalse
sao-paulo,acessórios-tecnologia,https://celulares.mercadolivre.com.br/acessorios/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D10%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D21%26applied_value_results%3D1368495%26is_custom%3Dfalse
sao-paulo,decoracao-casa,https://lista.mercadolivre.com.br/texteis-casa-e-decoracao-em-sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D7%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D18%26applied_value_results%3D1527138%26is_custom%3Dfalse
sao-paulo,organização-casa,https://lista.mercadolivre.com.br/organizacao-casa-em-sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D7%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D15%26applied_value_results%3D288953%26is_custom%3Dfalse
sao-paulo,bagagem-e-acessórios-de-viagem,https://roupas.mercadolivre.com.br/bagagem-e-bolsas-acessorios-viagem/sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D9%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D19%26applied_value_results%3D20182%26is_custom%3Dfalse
sao-paulo,louça-e-artigos-para-servir,https://lista.mercadolivre.com.br/utilidades-domesticas-louca-e-artigos-servir-em-sao-paulo/#applied_filter_id%3Dstate%26applied_filter_name%3DLocaliza%C3%A7%C3%A3o%26applied_filter_order%3D9%26applied_value_id%3DTUxCUFNBT085N2E4%26applied_value_name%3DS%C3%A3o+Paulo%26applied_value_order%3D20%26applied_value_results%3D824201%26is_custom%3Dfalse